Time (JD2000)	RE0_time (ns)	FE0_time (ns)	RE1_time (ns)	FE1_time (ns)	RE2_time (ns)	FE2_time (ns)	RE3_time (ns)	FE3_time (ns)
Pulse_Width0 (ns)	Pulse_Width1 (ns)	Pulse_Width2 (ns)	Pulse_Width3 (ns)	QN card
2457594.5000103930943	30.0	66.25	28.75	66.25	-1.0	-1.0	-1.0	-1.0	36.25	37.5	0.0	0.0	Q6
2457594.5000121956691	11.25	48.75	5.0	32.5	-1.0	-1.0	-1.0	-1.0	37.5	27.5	0.0	0.0	Q6
2457594.5000018682331	40.0	9960.0	33.75	62.5	-1.0	-1.0	-1.0	-1.0	9920.0	28.75	0.0	0.0	Q6
2457594.500004476402	26.25	63.75	22.5	35.0	-1.0	-1.0	-1.0	-1.0	37.5	12.5	0.0	0.0	Q6
2457594.5000063385814	5.0	37.5	0.0	56.25	-1.0	-1.0	-1.0	-1.0	32.5	56.25	0.0	0.0	Q6
2457594.500006582588	16.25	9960.0	15.0	46.25	-1.0	-1.0	-1.0	-1.0	9943.75	31.25	0.0	0.0	Q6
2457594.5000088154338	32.5	70.0	27.5	47.5	-1.0	-1.0	-1.0	-1.0	37.5	20.0	0.0	0.0	Q6
2457594.5000109975226	18.75	52.5	26.25	38.75	-1.0	-1.0	-1.0	-1.0	33.75	12.5	0.0	0.0	Q6
2457594.5000161626376	26.25	67.5	22.5	45.0	-1.0	-1.0	-1.0	-1.0	41.25	22.5	0.0	0.0	Q6
2457594.5000161626376	26.25	67.5	1208.75	9960.0	-1.0	-1.0	-1.0	-1.0	41.25	8751.25	0.0	0.0	Q6
2457594.5000173198059	22.5	45.0	-1.0	-1.0	22.5	45.0	-1.0	-1.0	22.5	0.0	22.5	0.0	Q6
2457594.5000173198059	1208.75	9960.0	-1.0	-1.0	22.5	45.0	-1.0	-1.0	8751.25	0.0	22.5	0.0	Q6
2457594.5000173198059	22.5	45.0	-1.0	-1.0	1208.75	9960.0	-1.0	-1.0	22.5	0.0	8751.25	0.0	Q6
2457594.5000173198059	1208.75	9960.0	-1.0	-1.0	1208.75	9960.0	-1.0	-1.0	8751.25	0.0	8751.25	0.0	Q6
2457594.5000184774399	22.5	45.0	-1.0	-1.0	-1.0	-1.0	1208.75	9960.0	22.5	0.0	0.0	8751.25	Q6
2457594.5000184774399	1208.75	9960.0	-1.0	-1.0	-1.0	-1.0	1208.75	9960.0	8751.25	0.0	0.0	8751.25	Q6
2457594.5000184774399	22.5	45.0	-1.0	-1.0	-1.0	-1.0	22.5	45.0	22.5	0.0	0.0	22.5	Q6
2457594.5000184774399	1208.75	9960.0	-1.0	-1.0	-1.0	-1.0	22.5	45.0	8751.25	0.0	0.0	22.5	Q6
2457594.5000079418533	40.0	9960.0	31.25	78.75	-1.0	-1.0	-1.0	-1.0	9920.0	47.5	0.0	0.0	Q6
2457594.5000096405856	8.75	47.5	3.75	31.25	-1.0	-1.0	-1.0	-1.0	38.75	27.5	0.0	0.0	Q6
2457594.5000101039186	28.75	31.25	21.25	62.5	-1.0	-1.0	-1.0	-1.0	2.5	41.25	0.0	0.0	Q6
2457594.5000101039186	28.75	31.25	63.75	80.0	-1.0	-1.0	-1.0	-1.0	2.5	16.25	0.0	0.0	Q6
2457594.50001015421	30.0	68.75	23.75	53.75	-1.0	-1.0	-1.0	-1.0	38.75	30.0	0.0	0.0	Q6
2457594.5000122110359	40.0	9960.0	32.5	61.25	-1.0	-1.0	-1.0	-1.0	9920.0	28.75	0.0	0.0	Q6
2457594.500001961831	18.75	57.5	15.0	40.0	-1.0	-1.0	-1.0	-1.0	38.75	25.0	0.0	0.0	Q6
2457594.5000024610199	35.0	37.5	41.25	9960.0	-1.0	-1.0	-1.0	-1.0	2.5	9918.75	0.0	0.0	Q6
2457594.5000049322844	23.75	57.5	18.75	36.25	-1.0	-1.0	-1.0	-1.0	33.75	17.5	0.0	0.0	Q6
2457594.5000049755909	42.5	9960.0	37.5	58.75	-1.0	-1.0	-1.0	-1.0	9917.5	21.25	0.0	0.0	Q6
2457594.5000061350875	28.75	61.25	21.25	51.25	-1.0	-1.0	-1.0	-1.0	32.5	30.0	0.0	0.0	Q6
2457594.5000061569735	25.0	45.0	30.0	67.5	-1.0	-1.0	-1.0	-1.0	20.0	37.5	0.0	0.0	Q6
2457594.5000082049519	5.0	52.5	1.25	40.0	-1.0	-1.0	-1.0	-1.0	47.5	38.75	0.0	0.0	Q6
2457594.5000083348714	42.5	9960.0	38.75	55.0	-1.0	-1.0	-1.0	-1.0	9917.5	16.25	0.0	0.0	Q6
2457594.5000104876235	3.75	48.75	0.0	31.25	-1.0	-1.0	-1.0	-1.0	45.0	31.25	0.0	0.0	Q6
2457594.5000120680779	46.25	9960.0	37.5	57.5	-1.0	-1.0	-1.0	-1.0	9913.75	20.0	0.0	0.0	Q6
2457594.5000037048012	41.25	9960.0	32.5	71.25	-1.0	-1.0	-1.0	-1.0	9918.75	38.75	0.0	0.0	Q6
2457594.5000032484531	23.75	60.0	17.5	35.0	-1.0	-1.0	-1.0	-1.0	36.25	17.5	0.0	0.0	Q6
